business_id,name,address,city,state,postal_code,latitude,longitude
10,TIRAMISU KITCHEN,033 BELDEN PL,San Francisco,CA,94104,37.791116,-122.403816
19,NRGIZE LIFESTYLE CAFE,"1200 VAN NESS AVE, 3RD FLOOR",San Francisco,CA,94109,37.786848,-122.421547
24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,"500 CALIFORNIA ST, 2ND  FLOOR",San Francisco,CA,94104,37.792888,-122.403135
31,NORMAN'S ICE CREAM AND FREEZES,2801 LEAVENWORTH ST ,San Francisco,CA,94133,37.807155,-122.419004
45,CHARLIE'S DELI CAFE,3202 FOLSOM ST ,San Francisco,CA,94110,37.747114,-122.413641
48,ART'S CAFE,747 IRVING ST ,San Francisco,CA,94122,37.764013,-122.465749
50,SUSHI ZONE,1815  MARKET ST. ,San Francisco,CA,94103,37.771437,-122.423892
54,RHODA GOLDMAN PLAZA,2180 POST ST ,San Francisco,CA,94115,37.784626,-122.437734
56,CAFE X + O,1799 CHURCH ST ,San Francisco,CA,94131,37.742325,-122.426476
58,OASIS GRILL,91 DRUMM ST ,San Francisco,CA,94111,37.794483,-122.396584
61,CHOWDERS,PIER 39  SPACE A3,San Francisco,CA,94133,37.80824,-122.410189
66,STARBUCKS COFFEE,1800 IRVING ST ,San Francisco,CA,94122,37.763578,-122.477461
67,REVOLUTION CAFE,3248 22ND ST ,San Francisco,CA,94110,37.755419,-122.419542
71,KAPPA RESTAURANT,1700 POST ST K,San Francisco,CA,94115,37.785567,-122.430074
73,DINO'S UNCLE VITO,2101 FILLMORE ST ,San Francisco,CA,94115,37.788932,-122.433895
76,OMNI S.F. HOTEL - 3RD FLOOR PANTRY,"500 CALIFORNIA ST, 3RD FLOOR",San Francisco,CA,94104,37.792888,-122.403135
77,OMNI S.F. HOTEL - EMPLOYEE CAFETERIA,"500 CALIFORNIA ST, BASEMENT",San Francisco,CA,94104,37.792888,-122.403135
80,LAW SCHOOL CAFE,2199 FULTON ST ,San Francisco,CA,94117,37.774941,-122.452797
81,CLUB ED/BON APPETIT,2350 TURK ST ,San Francisco,CA,94117,37.778468,-122.448484
88,J.B.'S PLACE,1435 17TH ST ,San Francisco,CA,94107,37.765003,-122.398084
95,VEGA,419 CORTLAND AVE ,San Francisco,CA,94110,37.739207,-122.417447
98,XOX TRUFFLES,754 COLUMBUS AVE ,San Francisco,CA,94133,37.801665,-122.412104
99,J & M A-1 CAFE RESTAURANT LLC,779 CLAY ST ,San Francisco,CA,94108,37.794293,-122.405967
101,CABLE CAR CORNER,1099 POWELL ST ,San Francisco,CA,94108,37.794615,-122.409705
102,AKIKO'S SUSHI BAR,542A MASON ST ,San Francisco,CA,94102,37.788484,-122.410045
108,RUE LEPIC,900 PINE ST,San Francisco,CA,94108,37.790868,-122.410854
116,THE WATERFRONT RESTAURANT,PIER 7 EMBARCADERO,San Francisco,CA,94111,37.793874,-122.396464
121,AKIKOS SUSHI,431 BUSH ST ,San Francisco,CA,94108,37.790643,-122.404676
125,CENTERFOLDS,391 BROADWAY ST ,San Francisco,CA,94133,37.798233,-122.403637
126,BROADWAY DIM SUM,684 BROADWAY ST ,San Francisco,CA,94133,37.797708,-122.408413
130,CAFFE MACARONI,59 COLUMBUS AVE ,San Francisco,CA,94111,37.796208,-122.404308
132,SILVER STAR CAFE AND DELI,316 PACIFIC AVE ,San Francisco,CA,94111,37.797668,-122.401125
134,MINT,400 MCALLISTER ST,San Francisco,CA,94102,37.780247,-122.418974
140,CAFE MADELEINE,300 CALIFORNIA ST ,San Francisco,CA,94104,37.793268,-122.400323
141,AFC SUSHI @ MOLLIE STONE'S 2,2435 CALIFORNIA ST ,San Francisco,CA,94115,37.788773,-122.434697
146,DEJA VU PIZZA & PASTA,3227 16TH ST ,San Francisco,CA,94103,37.764713,-122.424709
151,BUS STOP PIZZA #1,256 DIVISADERO ST ,San Francisco,CA,94117,37.771487,-122.437047
155,CAFE COLE,609 COLE ST ,San Francisco,CA,94117,37.769303,-122.450724
164,SAN FRANCISCO SOUP CO,"50 POST ST, 3RD FLOOR",San Francisco,CA,94104,37.789064,-122.402861
178,C & Y CAFE,400 CALIFORNIA ST  3RD FLOOR,San Francisco,CA,94104,37.793128,-122.401395
179,SECRET GARDEN TEA HOUSE,721 LINCOLN WAY ,San Francisco,CA,94122,37.765933,-122.465809
180,NENAS RESTAURANT,3459 MISSION ST ,San Francisco,CA,94110,37.74146,-122.422484
184,RADIO HAVANA,1109 VALENCIA ST,San Francisco,CA,94110,37.755124,-122.420916
187,TAZA WRAPS & JUICE,"750 FONT, BLDG B BLVD ",San Francisco,CA,94132,37.723054,-122.483612
190,COURTYARD BY MARRIOTT-STAFF KITCHEN,299 02ND ST ,San Francisco,CA,94105,37.785614,-122.396693
192,ARLEQUIN,384 B HAYES ST ,San Francisco,CA,94102,37.777014,-122.422345
194,BAYSIDE COFFEE SHOP,2011 BAYSHORE BLVD ,San Francisco,CA,94134,37.715126,-122.398901
198,SUBWAY,3801 03RD ST 310,San Francisco,CA,94124,37.741829,-122.388098
200,JIM'S SMOKE SHOP,600 20TH ST ,San Francisco,CA,94107,37.760568,-122.387772
208,CONSTANS GROCERY,4124 03RD ST ,San Francisco,CA,94124,37.739961,-122.389003
216,SORABOL,101 SPEAR ST A12,San Francisco,CA,94105,37.792577,-122.393992
217,PROGRESSIVE GROUNDS,400 CORTLAND AVE ,San Francisco,CA,94110,37.739143,-122.417653
221,NOODLE EXPRESS,1235 VAN NESS AVE ,San Francisco,CA,94109,37.787076,-122.421822
226,GRUMPY'S AMERICAN PUB,125 VALLEJO ST ,San Francisco,CA,94111,37.799594,-122.400586
230,GLOBE EATS INC,290 PACIFIC AVE ,San Francisco,CA,94111,37.797738,-122.400603
231,CAFFE PUCCINI,411 COLUMBUS AVE ,San Francisco,CA,94133,37.799087,-122.408488
234,NEW MOON RESTAURANT,1247 STOCKTON ST ,San Francisco,CA,94133,37.797303,-122.408574
236,GELATO CLASSICO ITALIAN ICE,576 UNION ST ,San Francisco,CA,94133,37.800543,-122.408784
239,JUST WONTON,1241 VICENTE ST ,San Francisco,CA,94116,37.739063,-122.480409
240,MIKI RESTAURANT,3639 BALBOA ST ,San Francisco,CA,94121,37.775663,-122.497949
247,TOY BOAT DESSERT CAFE,401 CLEMENT ST ,San Francisco,CA,94118,37.782953,-122.46351
251,BEANERY INC.,602 IRVING ST ,San Francisco,CA,94122,37.764148,-122.464391
253,ANN'S DONUT COFFEE SHOP,4488 MISSION ST ,San Francisco,CA,94112,37.725949,-122.433906
256,MARCHE CLUB OF S.F.,4346 MISSION ST ,San Francisco,CA,94112,37.727983,-122.432101
258,VIKINGS GIANT SUBMARINE,1300 OCEAN AVE ,San Francisco,CA,94112,37.72404,-122.456539
260,MONTEREY PIZZA,599 MONTEREY BLVD ,San Francisco,CA,94127,37.731523,-122.448711
